Year,Party,Candidate,State,Vote,Total,RelativeVote,PercentVote,Winner,PresidentElect,PredictiveOfWinner
1828,DEM,AndrewJa,Alabama,16736,18618,0.026989767,0.898915029,1,AndrewJa,1
1828,DEM,AndrewJa,Connecti,4448,19378,0.015902142,0.229538652,0,AndrewJa,0
1828,DEM,AndrewJa,Georgia,19362,20004,0.017557595,0.967906419,1,AndrewJa,1
1828,DEM,AndrewJa,Illinois,9560,14222,0.00302413,0.672198003,1,AndrewJa,1
1828,DEM,AndrewJa,Indiana,22257,39309,0.018793693,0.566206212,1,AndrewJa,1
1828,DEM,AndrewJa,Kentucky,39308,70776,0.067656688,0.555386007,1,AndrewJa,1
1828,DEM,AndrewJa,Louisian,4605,8687,0.009692143,0.530102452,1,AndrewJa,1
1828,DEM,AndrewJa,Maine,13927,34789,0.091256778,0.40032769,0,AndrewJa,0
1828,DEM,AndrewJa,Maryland,22782,45796,0.041019045,0.497467028,0,AndrewJa,0
1828,DEM,AndrewJa,Massachu,6012,39074,0.016664122,0.153861903,0,AndrewJa,0
1828,DEM,AndrewJa,Mississi,6763,8344,0.020393698,0.810522531,1,AndrewJa,1
1828,DEM,AndrewJa,Missouri,8232,11654,0.006410768,0.706366913,1,AndrewJa,1
1828,DEM,AndrewJa,NewHamps,20212,44035,0.152849948,0.458998524,0,AndrewJa,0
1828,DEM,AndrewJa,NewJerse,21809,45570,0.016007616,0.478582401,0,AndrewJa,0
1828,DEM,AndrewJa,NewYork,139412,270975,0.037813904,0.514482886,1,AndrewJa,1
1828,DEM,AndrewJa,NorthCar,37814,51747,0.036314117,0.730747676,1,AndrewJa,1
1828,DEM,AndrewJa,Ohio,67597,130993,0.033002402,0.516035208,1,AndrewJa,1
1828,DEM,AndrewJa,Pennsylv,101652,152500,0.031621357,0.666570492,1,AndrewJa,1
1828,DEM,AndrewJa,RhodeIsl,821,3575,0.009164528,0.22965035,0,AndrewJa,0
1828,DEM,AndrewJa,Tennesse,44293,46533,0.040677619,0.951862119,1,AndrewJa,1
1828,DEM,AndrewJa,Vermont,8350,33713,0.206715352,0.247678937,0,AndrewJa,0
1828,DEM,AndrewJa,Virginia,26854,38924,0.037345517,0.68990854,1,AndrewJa,1
1832,DEM,AndrewJa,Alabama,14286,14291,0.020717089,0.99965013,1,AndrewJa,1
1832,DEM,AndrewJa,Connecti,11269,32833,0.0269437,0.343221759,0,AndrewJa,0
1832,DEM,AndrewJa,Delaware,4110,8386,0.041655077,0.490102552,0,AndrewJa,0
1832,DEM,AndrewJa,Georgia,20750,20750,0.018212362,1,1,AndrewJa,1
1832,DEM,AndrewJa,Illinois,14609,21481,0.004567665,0.680089381,1,AndrewJa,1
