State,Total,Year
Nationwi,137098601,2016
Alabama,2123372,2016
Alaska,318608,2016
Arizona,2604657,2016
Arkansas,1130635,2016
California,14237884,2016
Colorado,2780247,2016
Connecticut,1644920,2016
Delaware,443814,2016
Florida,9501617,2016
Georgia,4141445,2016
Hawaii,428937,2016
Idaho,690433,2016
Illinois,5594420,2016
Indiana,2757828,2016
Iowa,1566031,2016
Kansas,1194755,2016
Kentucky,1924149,2016
Louisiana,2029032,2016
Maine,747927,2016
Maryland,2781446,2016
Massachusetts,3325046,2016
Michigan,4824260,2016
Minnesota,2945233,2016
Mississippi,1211088,2016
Missouri,2827673,2016
Montana,501822,2016
Nebraska,844227,2016
Nevada,1125385,2016
New Hampshire,744296,2016
New Jersey,3906723,2016
New Mexico,798319,2016
New York,7721453,2016
North Carolina,4741564,2016
North Dakota,344360,2016
Ohio,5536528,2016
Oklahoma,1452992,2016
Oregon,2001336,2016
Pennsylvania,6166708,2016
Rhode Island,464144,2016
South Carolina,2103027,2016
South Dakota,370093,2016
Tennessee,2508027,2016
Texas,8969226,2016
Utah,1143601,2016
Vermont,315067,2016
Virginia,3982752,2016
Washington,3316996,2016
West Virginia,721231,2016
Wisconsin,2976150,2016
Wyoming,255849,2016
DC,311268,2016
Nationwi,129235558,2012
Alabama,2074338,2012
Alaska,300495,2012
Arizona,2306559,2012
Arkansas,1069468,2012
California,13055815,2012
Colorado,2571846,2012
Connecticut,1558993,2012
Delaware,413921,2012
Florida,8492175,2012
Georgia,3908369,2012
Hawaii,434697,2012
Idaho,656742,2012
Illinois,5251432,2012
Indiana,2633143,2012
Iowa,1582180,2012
Kansas,1156254,2012
Kentucky,1798048,2012
Louisiana,1994065,2012
Maine,713180,2012
Maryland,2707327,2012
Massachusetts,3167767,2012
Michigan,4745316,2012
Minnesota,2936561,2012
Mississippi,1285584,2012
Missouri,2763689,2012
Montana,484484,2012
Nebraska,794379,2012
Nevada,1014918,2012
New Hampshire,710972,2012
New Jersey,3651140,2012
New Mexico,783757,2012
New York,7081536,2012
North Carolina,4505372,2012
North Dakota,322627,2012
Ohio,5590934,2012
