CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_OFFICE_ST,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_ICI,CAND_STATUS,CAND_PCC
H0AK00097,"COX, JOHN R.",REP,2014,AK,H,0,C,N,C00525261
H0AL02087,"ROBY, MARTHA",REP,2014,AL,H,2,I,C,C00462143
H0AL05049,"CRAMER, ROBERT E ""BUD"" JR",DEM,2008,AL,H,5,,P,C00239038
H0AL05163,"BROOKS, MO",REP,2014,AL,H,5,I,C,C00464149
H0AL05189,"SHEPARD, TAZEWELL",DEM,2010,AL,H,5,C,P,C00477026
H0AL06088,"COOKE, STANLEY KYLE",REP,2010,AL,H,6,C,N,C00464222
H0AL07086,"SEWELL, TERRI A.",DEM,2014,AL,H,7,I,C,C00458976
H0AL07094,"HILLIARD, EARL FREDERICK JR",DEM,2010,AL,H,7,O,P,C00460410
H0AL07177,"CHAMBERLAIN, DON",REP,2012,AL,H,7,C,P,C00482059
H0AR01083,"CRAWFORD, ERIC ALAN RICK",REP,2014,AR,H,1,I,C,C00462374
H0AR01091,"GREGORY, JAMES CHRISTOPHER",DEM,2010,AR,H,1,O,N,C00472126
H0AR01109,"CAUSEY, CHAD",DEM,2010,AR,H,1,O,P,C00475384
H0AR01125,"SMITH, PRINCELLA D",REP,2010,AR,H,1,O,P,C00480905
H0AR02107,"GRIFFIN, JOHN TIMOTHY",REP,2014,AR,H,2,I,C,C00468116
H0AR02131,"ELLIOTT, JOYCE ANN",DEM,2010,AR,H,2,O,P,C00475764
H0AR03022,"SKOCH, BERNARD KURT 'BERNIE'",REP,2010,AR,H,3,O,P,
H0AR03030,"WHITAKER, DAVID JEFFREY",DEM,2010,AR,H,3,O,P,C00468033
H0AR03055,"WOMACK, STEVE",REP,2014,AR,H,3,I,C,C00477745
H0AR03063,"BLEDSOE, CECILE H",REP,2010,AR,H,3,O,P,C00478172
H0AR03089,"LOWRY, STEVE MR.",REP,2010,AR,H,3,O,P,C00480095
H0AR04038,"ROSS, MICHAEL AVERY",DEM,2012,AR,H,4,C,P,C00345710
H0AS00018,"FALEOMAVAEGA, ENI",DEM,2014,AS,H,0,I,C,C00231092
H0AZ01184,"FLAKE, JEFF MR.",REP,2012,AZ,H,6,C,P,C00347260
H0AZ01259,"GOSAR, PAUL ANTHONY",REP,2014,AZ,H,4,I,C,C00461806
H0AZ01283,"MEHTA, STEVE",REP,2010,AZ,H,1,C,P,C00474940
H0AZ01325,"TOBIN, ANDY HON.",REP,2014,AZ,H,1,C,C,C00550012
H0AZ01333,"GRESSLEY, FORREST DAYL",REP,2010,AZ,H,1,C,N,C00481267
H0AZ03321,"PARKER, VERNON",REP,2014,AZ,H,9,C,C,C00541508
H0AZ03362,"QUAYLE, BEN",REP,2012,AZ,H,6,C,P,C00475863
H0AZ03404,"SCOTT, BRIAN ALAN",IND,2010,AZ,H,3,O,N,C00478735
H0AZ03412,"BAKER, SCOTT",REP,2010,AZ,H,3,O,N,C00480053
H0AZ04485,"HILL, BRIAN",IND,2010,AZ,H,4,C,N,C00472068
H0AZ04493,"CONTRERAS, JANET L",REP,2010,AZ,H,4,C,P,C00474007
H0AZ04501,"PENALOSA, JOSE LUIS JR",IND,2014,AZ,H,7,O,C,C00559179
H0AZ05078,"WARD, JIM",REP,2010,AZ,H,5,C,P,C00462432
H0AZ05086,"WNUCK, ERIC",REP,2010,AZ,H,5,C,P,C00468694
H0AZ05102,"SALVINO, CHRIS",REP,2010,AZ,H,5,C,P,C00471912
H0AZ05128,"HILL, JONATHON RYAN",REP,2010,AZ,H,5,C,N,C00481028
H0AZ06043,"KELSEY, EASTON CLINT",REP,2010,AZ,H,6,C,N,C00472746
H0AZ07017,"MCCLUNG, RUTH CRAWFORD",REP,2010,AZ,H,7,C,P,C00462309
H0AZ07025,"MYERS, TERRY LON",REP,2010,AZ,H,7,C,P,C00481069
H0AZ08015,"KELLY, JESSE",REP,2012,AZ,H,2,C,P,C00460808
H0AZ08031,"MILLER, BRIAN ALLAN",REP,2010,AZ,H,8,C,P,C00462721
H0AZ08056,"PATON, JONATHAN",REP,2012,AZ,H,1,C,P,C00474270
H0CA00082,"PORTANTINO, ANTHONY",DEM,2012,CA,H,29,C,P,C00479188
H0CA00108,"COTTON, STANLEY S",DEM,2010,CA,H,45,C,N,C00480624
H0CA02138,"REED, JAMES E",DEM,2012,CA,H,1,C,P,C00502146
H0CA03078,"BERA, AMERISH",DEM,2014,CA,H,7,I,C,C00461061
H0CA03110,"FAVIS, STEVE DONALD",IND,2010,CA,H,3,C,N,C00483008
H0CA05073,"SMITT, ERIK",REP,2012,CA,H,6,O,P,C00478651
H0CA06121,"ROBERTS, DANIEL ",REP,2012,CA,H,2,O,P,C00502781
H0CA08069,"DENNIS, JOHN",REP,2014,CA,H,12,C,C,C00554337
H0CA09091,"ALLEN, LARRY",PAF,2014,CA,H,13,C,N,
H0CA10073,"DESAULNIER, MARK",DEM,2014,CA,H,11,O,C,C00554709
H0CA10115,"VANGUNDY, GINO",UNK,2009,CA,H,10,O,N,C00461392
H0CA10123,"HARMER, DAVID",REP,2010,CA,H,11,C,P,C00461657
H0CA10131,"ATTWOOD, TIFFANY",DEM,2010,CA,H,10,C,N,C00461947
H0CA10149,"GARAMENDI, JOHN",DEM,2014,CA,H,3,I,C,C00462697
H0CA10164,"CLOWARD, JEREMY",GRE,2009,CA,H,10,O,N,C00463224
H0CA10172,"PETERSON, DAVID",DEM,2014,CA,H,12,C,N,C00549030
H0CA11303,"GOEHRING, BRAD",REP,2010,CA,H,11,C,P,C00463059
H0CA11337,"AMADOR, ANTONIO CANDIA",REP,2014,CA,H,9,C,C,C00553289
H0CA11352,"EMKEN, ELIZABETH",REP,2014,CA,H,7,C,C,C00545509
H0CA11360,"CHRISTENSEN, DAVID",NNE,2014,CA,H,10,C,N,
H0CA12103,"HARDING, JOSEPH MICHAEL",W,2010,CA,H,12,C,N,C00490425
H0CA13093,"JELINCIC, JUSTIN",DEM,2014,CA,H,13,C,N,C00481564
H0CA13119,"PAREJA, CHRISTOPHER JAMES",UNK,2012,CA,H,15,C,P,C00485961
H0CA15148,"HONDA, MIKE",DEM,2014,CA,H,17,I,C,C00351379
H0CA15171,"SIMITIAN, S JOSEPH",DEM,2014,CA,H,15,C,C,C00458117
H0CA16104,"SAHAGUN, DANIEL",REP,2010,CA,H,16,C,N,C00484139
H0CA17169,"CHANDLER, WILLIAM THARON",IND,2010,CA,H,17,C,N,C00481077
H0CA17185,"KABAT, RONALD PAUL",NNE,2014,CA,H,20,C,C,C00522367
H0CA18050,"BERRYHILL, MICHAEL CLARE SR",REP,2012,CA,H,18,O,N,C00466508
H0CA19082,"HERNANDEZ, JOHN STEPHEN",DEM,2014,CA,H,21,C,C,C00559419
H0CA19132,"GOODWIN, LORAINE",DEM,2012,CA,H,16,C,N,C00502567
H0CA19173,"DENHAM, JEFF",REP,2014,CA,H,10,I,C,C00473272
H0CA20080,"MILLER, JOSHUA THOMAS COULSTON",REP,2010,CA,H,20,C,N,C00459727
H0CA20098,"VIDAK, JAMES ANDREW",REP,2010,CA,H,20,C,P,C00469312
H0CA20106,"QUINTANAR, SERAFIN",REP,2010,CA,H,20,C,P,C00474437
H0CA23043,"KALEMKARIAN, TIMOTHY CHARLES",REP,2014,CA,H,26,C,N,C00520742
H0CA23100,"DAVIDSON, JOHN",REP,2010,CA,H,23,C,P,C00473124
H0CA23118,"WATSON, THOMAS C",REP,2012,CA,H,23,C,P,C00478164
H0CA23159,"HAGER, JOHN VICTOR",IND,2010,CA,H,23,C,P,C00486902
H0CA26087,"MILLER, DAVID LAWRENCE",REP,2012,CA,H,32,C,P,C00479956
H0CA26111,"BROWN, ROBERT",NNE,2010,CA,H,26,C,N,C00485318
H0CA27085,"SCHIFF, ADAM",DEM,2014,CA,H,28,I,C,C00343871
H0CA27101,"REED SR., MARK STEVEN SR.",REP,2014,CA,H,30,C,C,C00462317
H0CA27119,"DARIAN, BRUCE HARRY",FED,2010,CA,H,27,C,N,C00477307
H0CA28109,"WORMAN, JENNY",REP,2012,CA,H,28,C,N,C00513663
H0CA28117,"VALDEZ, RICHARD",DEM,2012,CA,H,29,C,N,C00481895
H0CA29107,"CUSHING, WILLIAM  (BILL) P",LIB,2010,CA,H,29,C,N,C00480079
H0CA30071,"FLUTIE, ROBERT A MR",REP,2010,CA,H,30,C,P,C00469734
H0CA30105,"WILKERSON, CHARLES EDWARD",REP,2010,CA,H,30,C,P,C00478578
H0CA31087,"SOLIS, HILDA",DEM,2008,CA,H,32,,P,C00346296
H0CA31111,"SMITH, STEPHEN CARLTON",REP,2010,CA,H,31,C,P,C00478859
H0CA32101,"CHU, JUDY",DEM,2014,CA,H,27,I,C,C00458125
H0CA32127,"CEDILLO, GILBERT",DEM,2009,CA,H,32,O,P,C00458331
H0CA32317,"SCARBOROUGH, LARRY DEAN",REP,2009,CA,H,32,O,N,C00461319
H0CA32325,"SCHMERLING, EDWARD ",REP,2010,CA,H,32,O,N,C00484337
H0CA33091,"DEGROOT, BENJAMIN",IND,2010,CA,H,33,O,N,C00474023
H0CA33109,"EVANS, MERVIN LEON",DEM,2014,CA,H,37,C,N,C00474288
H0CA33117,"BASS, KAREN",DEM,2014,CA,H,37,I,C,C00476523
H0CA33141,"MONTOYA, LUIS",REP,2010,CA,H,33,O,N,C00480327
H0CA34099,"SANCHEZ, DAVID",DEM,2014,CA,H,40,C,N,
H0CA36136,"FEIN, MATTIE",REP,2010,CA,H,36,C,P,C00470419
H0CA36144,"SHARP, ANDREW JAMES",REP,2010,CA,H,36,C,N,C00481317
H0CA38066,"SCHIPSKE, GERRIE",DEM,2008,CA,H,37,C,N,C00434977
H0CA38116,"VAUGHN, ROBERT WILLIAM",REP,2010,CA,H,38,C,N,C00482505
H0CA38124,"TURNER, TRACY LYNN",IND,2010,CA,H,38,C,N,C00481812
H0CA42175,"LIBERATORE, PHILIP LAURENCE",REP,2012,CA,H,8,C,P,C00474114
H0CA44130,"RIGGS, CHRISTOPHER SCOTT",REP,2010,CA,H,44,C,P,C00462937
H0CA45053,"POUGNET, STEPHEN P",DEM,2012,CA,H,45,C,P,C00459842
H0CA45061,"THIBODEAU, CLAYTON ",REP,2012,CA,H,42,C,P,C00515924
H0CA46069,"ARNOLD, KENNETH",DEM,2010,CA,H,46,C,P,C00475830
H0CA48024,"ISSA, DARRELL",REP,2014,CA,H,49,I,C,C00350520
H0CA49055,"DAVIS, SUSAN",DEM,2014,CA,H,53,I,C,C00344671
H0CA51036,"POPADITCH, NICHOLAS ALLEN",REP,2012,CA,H,53,C,P,C00506857
H0CA52018,"BENOIT, MICHAEL",LIB,2014,CA,H,50,C,N,
